"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Inflammatory_Macrophage","CD4_T","HLA-DPB1","CD4",0.319074160654672,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","Inflammatory_Macrophage","HLA-DPB1","CD4",0.389414383902518,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","Treg","HLA-DPB1","CD4",0.398518764566231,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","cDC2","HLA-DPB1","CD4",0.388852811371204,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","LAMP3_DC","HLA-DPB1","CD4",0.37129418788907,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD4_T","HLA-DQA1","CD4",0.222270360337602,0,"HLA-DQA1_CD4","HLA-DQA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","Inflammatory_Macrophage","HLA-DQA1","CD4",0.280046871638446,0,"HLA-DQA1_CD4","HLA-DQA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","Treg","HLA-DQA1","CD4",0.287799506528337,0,"HLA-DQA1_CD4","HLA-DQA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","cDC2","HLA-DQA1","CD4",0.279570802443564,0,"HLA-DQA1_CD4","HLA-DQA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","LAMP3_DC","HLA-DQA1","CD4",0.264808640858527,0,"HLA-DQA1_CD4","HLA-DQA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD4_T","HLA-DMA","CD4",0.0922072955366685,0,"HLA-DMA_CD4","HLA-DMA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","Inflammatory_Macrophage","HLA-DMA","CD4",0.121455198635254,0,"HLA-DMA_CD4","HLA-DMA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","Treg","HLA-DMA","CD4",0.125583305058839,0,"HLA-DMA_CD4","HLA-DMA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","cDC2","HLA-DMA","CD4",0.121203342488734,0,"HLA-DMA_CD4","HLA-DMA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","LAMP3_DC","HLA-DMA","CD4",0.113486176233687,0,"HLA-DMA_CD4","HLA-DMA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD4_T","HLA-DMB","CD4",0.0931119785723286,0,"HLA-DMB_CD4","HLA-DMB - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","Inflammatory_Macrophage","HLA-DMB","CD4",0.122608086937375,0,"HLA-DMB_CD4","HLA-DMB - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","Treg","HLA-DMB","CD4",0.12676972432343,0,"HLA-DMB_CD4","HLA-DMB - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","cDC2","HLA-DMB","CD4",0.122354173048221,0,"HLA-DMB_CD4","HLA-DMB - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","LAMP3_DC","HLA-DMB","CD4",0.114573285208916,0,"HLA-DMB_CD4","HLA-DMB - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
